real_ari,real_perplexity,real_burstiness,fake_ari,fake_perplexity,fake_burstiness
10.944444444444445,112.78438271416559,55.83111380901204,8.78,47.62874794006348,11.437939001740562
11.118181818181819,62.56169180436568,29.81656076245729,10.16,43.66724472045898,14.4727385571301
21.560000000000002,25.417903900146484,6.014913725145037,8.775,24.221197843551636,16.40134214435866
10.953333333333335,39.47152608235677,32.757570540977945,7.950000000000001,43.71726304292679,70.56907953563137
13.942857142857145,16.78028815133231,1.879879607508925,9.1625,11.380631685256958,5.567379317940965
16.900000000000002,66.39896065848214,79.56724570499746,14.233333333333334,39.85827382405599,36.2392012222258
18.0,43.47212927682059,24.120373637593254,11.366666666666665,15.396169503529867,3.5948157711038924
11.922222222222222,63.34111679924859,47.14377074877693,10.828571428571427,17.309650080544607,9.818556305813457
12.137500000000001,118.39693307876587,130.96014993004675,9.966666666666667,26.17413568496704,12.13243156910425
10.253333333333334,44.25228106180827,30.34790539326475,9.620000000000001,13.926262092590331,6.543704391865797
11.249999999999998,78.0020215511322,38.78400701747381,11.475000000000001,34.52667450904846,21.40938535593088
16.475,31.851412296295166,13.609272377537147,15.09,24.524231815338133,10.027869598549943
9.275,78.68888433774312,48.82737490021749,9.566666666666668,25.694961865743,18.09972857328031
12.114285714285714,80.32646955762591,76.79257692351955,12.125,21.505499362945557,12.110117280706374
14.462500000000002,37.6873517036438,11.419086367620968,14.416666666666666,14.420678774515787,3.756413982824017
41.63333333333333,69.34718449910481,23.06189353867964,8.483333333333333,20.063775539398193,16.693048881446405
15.25,46.70025215148926,27.025743817943887,10.066666666666668,24.487693044874405,10.163217903984261
15.5125,90.61016094684601,143.17168746981702,9.6,13.774371147155762,1.2543926239013672
18.9125,91.14953398704529,111.94422950573198,8.442857142857141,85.3136648450579,124.90213788460191
15.771428571428572,39.162731306893484,18.947637005521912,9.614285714285714,18.722843851361954,7.1710076567172925
18.314285714285713,33.10646397726877,16.912855736789457,7.909999999999998,11.80939507484436,5.005859063217053
11.25,66.78069943189621,70.20773762071589,14.3125,26.965011477470398,25.655570776595095
14.7,39.59916374900124,23.57887771627892,13.511111111111113,25.57256529066298,17.90392771736008
21.06153846153846,218.86680250901443,471.01416306312746,12.528571428571428,22.81413541521345,17.376839328991405
14.0,58.62781888788397,46.971955152572924,10.2375,29.67567753791809,12.410672349844933
11.290909090909091,114.03645359386097,175.14423520261772,8.442857142857141,50.946350642613005,24.137856798637756
25.775,56.98635959625244,25.426387198293185,14.05,15.309253215789795,5.3578362464904785
19.866666666666667,26.576056162516277,12.620052986883573,11.714285714285712,23.221315383911133,15.023045762307687
14.066666666666668,47.596451123555504,34.900058996158,9.1,35.04244351387024,20.696627540499424
17.325,43.245675563812256,19.49356397746792,14.1,17.260000038146973,5.375439151704708
9.863636363636363,99.90135955810547,94.688990746032,9.142857142857142,25.000195911952428,12.28302476075808
11.666666666666666,45.457820971806846,23.319570721361906,9.057142857142857,18.065322194780624,8.58428832530846
13.1,27.603366057078045,15.989777424588384,12.328571428571431,11.171209267207555,6.591703225709603
14.087500000000002,24.65819001197815,7.406410331451836,11.344444444444441,21.143545892503525,14.08250781174479
12.207142857142857,60.11289596557617,43.82316242810859,10.425,24.695202589035034,7.948518894366583
14.600000000000001,45.515105565389,34.88191313360564,11.533333333333333,20.316171010335285,7.404261309951974
15.566666666666665,98.10477002461751,95.64438046570692,10.4625,20.649606108665466,7.424213420515462
